title,date,description,call_number,contributor_names,format,language,mime_type,subject,partof
"Treat 'em rough - Join the tanks United States Tank Corps / / Ahgiet Hutaf ; National Printing & Engraving Co., Chicago, New York, St. Louis.",1917-01-01,"['1 print (poster) : lithograph, color ; 104 x 70 cm. | Poster showing a black cat with prominent fangs and claws leaping above a battlefield with tanks.']","POS - US .H88, no. 1 (C size) [P&P]","['Hutaf, August William, 1879-, artist']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['lithographs', 'recruiting & enlistment', 'army', 'color', 'united states', 'american', 'cats', 'world war', 'tanks (military science)', 'war posters']","{'count': 1871, 'title': 'posters: world war i posters', 'url': 'https://www.loc.gov/collections/world-war-i-posters/?fo=json'}"
"The cat drinks foamy, fresh milk. Farm, Canyon County, Idaho",1941-01-01,['1 negative : safety ; 3 1/4 x 4 1/4 inches or smaller.'],LC-USF34- 039705-D [P&P] LOT 442 (corresponding photographic print),"['Lee, Russell, 1903-1986, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['united states', 'safety film negatives', 'idaho', 'canyon county']","{'count': 62, 'title': 'lot 442', 'url': 'https://www.loc.gov/search/?fa=partof:lot+442&fo=json'}"
"[Portrait of Sam Donahue and Hep, Aquarium, New York, N.Y., ca. Dec. 1946]",1946-01-01,"['Graphic.   Portrait Photographs-1940-1950..   Group Portraits-1940-1950..   Film Negatives-1940-1950..   electronic resource |   1 negative :  b&w ; 3 1/4 x 4 1/4 in. |   Purchase William P. Gottlieb   Forms part of: William P. Gottlieb Collection (Library of Congress).   General information about the Gottlieb Collection is available at   In: ""Empty tables,"" Down Beat, v. 15, no. 26 (Dec. 16, 1946), p. 5.   Gottlieb Collection Assignment No. 112 (Gottlieb Assignment).   Electronic Resource (Form).   Remote (Form).   Nonprojected Graphic (Form).   Photonegative (Form).   Graphic (Form).']",not found,"['Gottlieb, William P. -- 1917- (photographer)']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/tiff', 'image/jp2', 'image/gif', 'image/jpeg']","['portrait photographs', 'saxophonists', 'hep', 'big bands', 'jazz musicians', 'film negatives', 'graphic', 'aquarium', 'group portraits', 'donahue, sam']","{'count': 1501, 'title': 'william p. gottlieb collection', 'url': 'https://www.loc.gov/collections/jazz-photography-of-william-p-gottlieb/?fo=json'}"
"Ed and Pegeen Fitzgerald, residence at 15 E. 36th St., New York City. Pegeen at typewriter with cats",1944-01-01,['1 negative : safety ; 5x7 in.'],LC-G612- 45132-B [P&P],"['Gottscho-Schleisner, Inc., photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['portrait photographs', 'united states', 'new york', 'acetate negatives', 'new york (state)', 'dwellings']","{'count': 29010, 'title': 'gottscho-schleisner collection', 'url': 'https://www.loc.gov/collections/gottscho-schleisner/?fo=json'}"
"TIMMONS, MRS. BASCOM N.",1928-01-01,"['1 negative : glass ; 8 x 10 in. or smaller | Photograph shows a cat named Timmie owned by Bascom N. Timmons, journalist and president of the National Press Club; with a canary named Caruso which belonged to President Calvin Coolidge. Coolidge gave Caruso to Timmons because the two pets were friends. (Source: researcher J. Mangin, 2018)']",LC-H25- 155282-BK [P&P],"['Harris & Ewing, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']",['glass negatives'],"{'count': 41542, 'title': 'harris & ewing collection', 'url': 'https://www.loc.gov/collections/harris-ewing/?fo=json'}"
"A contented cat at Yoder's Amish Home, an authentic Amish farm that began accepting visitors in 1983 near Walnut Creek in central Ohio, along the ""Amish Country Byway""",2016-01-01,"['1 photograph : digital, tiff file, color.']",LC-DIG-highsm- 41489 (ONLINE) [P&P],"['Highsmith, Carol M., 1946-, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['amish', 'digital photographs', 'farm cats', 'united states', 'holmes county', 'cats', ""yoder's amish home"", 'amish country byway', 'ohio', 'america', 'walnut creek', 'color', 'ohio amish country']","{'count': 69100, 'title': 'highsmith (carol m.) archive', 'url': 'https://www.loc.gov/collections/carol-m-highsmith/?fo=json'}"
"A most unusual carousel at the Lake Compounce amusement park in Bristol, Connecticut. Opened in 1846, it is the oldest continuously-operating amusement park in the United States",2014-01-01,"['1 photograph : digital, tiff file, color.']",LC-DIG-highsm- 43955 (ONLINE) [P&P],"['Highsmith, Carol M., 1946-, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['carousels', 'merry-go-rounds', 'digital photographs', 'carousel cat', 'lake compounce amusement park', 'united states', 'color', 'connecticut', 'bristol', 'america']","{'count': 69100, 'title': 'highsmith (carol m.) archive', 'url': 'https://www.loc.gov/collections/carol-m-highsmith/?fo=json'}"
"Rescued cats get their own shelter, with lots of room to roam, at the Kindness Ranch, near Hartville, Wyoming, which rehabilitates retired research animals of many species. The ranch was founded in 2007 by David Groobman, an Arvada, Colorado, psychologist",2016-01-01,"['1 photograph : digital, tiff file, color.']",LC-DIG-highsm- 47959 (ONLINE) [P&P],"['Highsmith, Carol M., 1946-, photographer']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['david groobman', 'digital photographs', 'wyoming', 'united states', 'color', 'cats', 'rescue cats', 'america', 'hartville', 'animal rescue', 'kindness ranch']","{'count': 69100, 'title': 'highsmith (carol m.) archive', 'url': 'https://www.loc.gov/collections/carol-m-highsmith/?fo=json'}"
[Domestic cat nursing kittens],1720-01-01,['1 print : woodcut.'],"FP 2 - JPD, no. 2048 (B size) [P&P]","['Tachibana, Morikuni, 1679-1748, artist']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]","['japanese', 'english']","['image/gif', 'image/jpg', 'image/tif']","['breast feeding', 'ukiyo-e', 'japanese', 'cats', 'woodcuts', 'japan']","{'count': 2767, 'title': 'fine prints: japanese, pre-1915', 'url': 'https://www.loc.gov/collections/japanese-fine-prints-pre-1915/?fo=json'}"
[A cat cleaning its claws],1830-01-01,"['1 drawing on thin handmade paper : ink wash, color ; 26.8 x 19.1 cm (sheet)']","FP 2 - JPD, no. 2331-153 (A size) [P&P]","['Katsushika, Hokusai, 1760-1849.']","[{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}]",['english'],"['image/gif', 'image/jpg', 'image/tif']","['brush works', 'color', 'ukiyo-e', 'japanese', 'cats', 'japan', 'wash drawings']","{'count': 2767, 'title': 'fine prints: japanese, pre-1915', 'url': 'https://www.loc.gov/collections/japanese-fine-prints-pre-1915/?fo=json'}"
